species_name,PLA2,SVSP,SVMP,LAAO,CRiSP,CTL/SNACLEC,DIS,NP,DEF,MPi,%WV
Calloselasma rhodostoma,4.4,14.9,41.2,7,2.5,26.3,0,0,0,0,96.3
Cryptelytrops purpureomaculatus,8,12,35,10,6,19,0,2,0,0,92
Gloydius brevicaudus,25,3.7,64.4,0.9,1.1,0.2,4.6,0,0,0,99.9
Gloydius intermedius,9.9,36.2,2.6,13.1,6.2,0.8,0,25.3,0,0,94.1
Ovophis okinavensis,0.65,93.1,4.2,0.62,0,0.47,0,0,0,0,99
Protobothrops elegans,77.1,10.4,8,0.5,0.1,0.2,0,0,0,0,96.3
Protobothrops flavoviridis,55.5,11.8,17.3,3.1,2,0.9,0,2.6,0,0,93.2
Protobothrops mucrosquamatus,22.5,10.4,43,2,0.8,3.9,0.8,3.6,0,0,87
Viridovipera stejnegeri,24.5,11,43.1,3.3,6,1.5,2.2,1.2,0,0,92.8
Agkistrodon bilineatus ,38.15,12.25,27.65,3.75,2.8,0.9,2.65,6.65,0,0,76.7
Agkistrodon contortrix,50.7,5.85,25,4,2,0.8,0,0,0,0,88.35
Agkistrodon piscivorus,39.8,12,27.05,2.65,2.75,2,3.55,5.8,0,0,76.2
Atropoides nummifer,36.5,22,18.2,9.1,1.9,1.3,2.5,8.6,0,0,100
Atropoides picadoi,9.5,13.5,66.4,2.2,4.8,1.8,0.1,1.8,0,0,100
Bothriechis aurifer,0,7.3,35.1,9.5,10.7,16.4,1.4,13.4,0,3.2,97
Bothriechis bicolor,35.2,19.1,8.5,10.8,1,4.4,7.6,3.6,0,4.6,94.8
Bothriechis marchi,14.3,10.1,34.2,1.1,2.8,4.2,6.5,10.6,0,8.5,83.8
Bothriechis lateralis,8.7,11.3,55.1,6.1,6.5,0,0,11.1,0,0,98.8
Bothriechis nigroviridis,38.3,18.4,0,0.5,2.1,0,0,37,0,0,96.3
Bothriechis schlegelii,43.8,5.8,17.7,8.9,2.1,0,0,13.4,0,0,91.7
Bothriechis supraciliaris,13.4,15.2,6.8,5.9,4.3,0,1.6,21.9,0,0,69.1
Bothriechis thalassinus,0,12.1,39.6,4.3,5.1,11.5,2,10.6,0,9.9,95.1
Bothrocophias campbelli,43.1,21.3,15.8,5.7,0.9,6.4,0.3,3.9,0,0,97.4
Bothrocophias colombiensis,44.3,1,42.1,5.7,0.1,0,5.6,0.8,0,0,99.5
Bothropoides diporus,24.1,7.2,34.2,7.4,0,2.9,1.4,15.9,0,2.6,95.7
Bothropoides erythromelaus ,12.6,6.85,46.2,0,0.4,15,6.15,11.9,0,0,68
Bothropoides insularis,10,12.5,30,1.3,1.3,31.3,0,11.3,0,0,97.7
Bothropoides jaracara,11.95,21.15,22.95,7.6,2.5,9.5,3.6,19.5,0,0,97.8
Bothropoides neuwiedi,8.4,8.8,49.9,16.7,2,8.6,0,0,0,0,94.4
Bothropoides pauloensis,31.9,10.5,38.1,2.8,2.2,0.6,1.3,12.4,0,0,99.8
Bothrops asper,37.15,11.3,42.5,6.9,0.1,0.5,1.75,0,0,0,99.95
Bothrops atrox,17.55,8.1,63.9,7.6,2.5,5.35,2.45,0.3,0,0,99.95
Bothrops ayerbi,0.7,9.3,53.7,3.3,1.1,10.1,2.3,8.3,0,0,88.8
Bothrops barnetti,6.4,6.7,74.1,0.8,3.1,3.3,5.5,0,0,0,99.9
Bothrops caribbaeus,12.8,4.7,68.6,8.4,2.6,0,1.7,0,0,0,98.8
Bothrops jararacussu,25.7,12.3,26.2,15,2.2,9.7,0,0,0,0,91.1
Bothrops lanceolatus,8.6,14.4,74.2,2.8,0,0.1,0,0,0,0,100
Bothrops pictus,14.1,7.7,68,0,0,1.1,8.9,0,0,0,99.8
Bothrops pirajai,40.2,7.1,20.7,5.2,0,9.2,1.4,5.6,0,0,89.4
Bothrops punctatus,9.3,5.4,41.5,3.1,1.2,16.7,3.8,10.7,0,0,91.7
Cerrophidion godmani,23.4,19.1,32.8,5,4.2,0.5,7.5,5.7,0,0,98.2
Cerrophidion sasai,23.4,19.1,32.8,5,4.2,0.5,7.5,5.7,0,0,98.2
Crotalus adamanteus,7.8,20,24.4,5.3,1.3,22.2,0,0,16.8,0,97.8
Crotalus atrox,7.3,19.8,49.7,8,4.3,3.4,6.2,3,0,0,100
Crotalus basiliscus,14,11,68,0,0,0,0,2,0,4,99
Crotalus culminatus,8.3,10.1,35.5,2.7,1.9,13,0,1.6,24.4,0,97.5
Crotalus durissus,70.47,9.47,1.47,0.3,1.35,0.1,0.35,0,20.8,0,89.7
Crotalus horridus,22.8,58.2,0.1,1.1,0.8,0.22,0,0,0.2,0,82.3
Crotalus simus ,22.4,30.4,27.4,5.7,1,0.6,1.5,6.5,0,0,95.5
Crotalus tigris,0,26.8,66.2,0,1.9,0,0.2,0,0,0,95.1
Crotalus tzabacan,11.1,5.4,18.5,0.5,0,35.2,0,4.2,23.5,0,98.4
Crotalus viridis,8.95,26.8,11.15,2.2,3,2.55,0.1,7.35,36.8,0.1,93.5
Sistrurus catenatus ,31.6,21.3,44.6,2.9,5.75,0,2.55,0,0,0,93.4
Sistrurus miliarius,32.5,17.1,36.1,2.1,2.9,0,7.7,0,0,0,98.4
Lachesis acrochorda,2.3,35.1,23.2,9.6,0.9,6.9,0,21.5,0,0,99.5
Lachesis melanocephala,13.4,21,18.9,3.6,0,7.5,0,30.2,0,0,94.6
Lachesis muta muta,8.7,31.2,31.9,2.7,1.8,7.9,0,14.7,0,0,98.9
Lachesis muta rhombeata,10.8,26.5,29.5,0.5,1.4,2.7,0,28,0,0,99.4
Lachesis stenophrys,14.1,21.2,30.6,2.7,0,3.6,0,27.1,0,0,99.3
Porthidium lansbergii,16.2,4.5,35.5,3.6,1.4,6.7,12.9,12.4,0,0,93.2
Porthidium nasutum,11.6,9.6,52.1,3,1.3,10.4,9.9,1.9,0,0,99.8
Porthidium ophryomegas,13.5,7.3,45,3.3,0.6,8,16.7,4.2,0,0,98.6
Rhinocerophis alternatus,2,5.8,52.2,14.9,2.5,14.8,0,0,0,0,92.2
Rhinocerophis cotiara,0.6,13,51,19.6,2.9,4.7,0,0,0,0,91.8
Rhinocerophis fonescai,30.1,4.1,42.5,1.9,2.4,9.8,4.4,0,0,0,95.2
